LR = 0.00025 , 1      , 2      , 3      , 4      , 5      , 6
diode_left   , 0.8095 , 0.9048 , DIV    , 0.8095 , DIV    , 0.6667
diode_top    , 1.0000 , 1.0000 , DIV    , 1.0000 , DIV    , 1.0000
diode_right  , 0.9643 , 0.8929 , DIV    , 0.8214 , DIV    , 0.9286
diode_bot    , 0.6667 , 0.9333 , DIV    , 0.8667 , DIV    , 0.8667
res_de_hor   , 0.8621 , 0.8966 , DIV    , 0.8966 , DIV    , 0.8966
res_de_ver   , 0.9866 , 0.9195 , DIV    , 0.9328 , DIV    , 0.9394
cap_hor      , 1.0000 , 0.8667 , DIV    , 0.9333 , DIV    , 0.8667
cap_ver      , 0.8824 , 0.8235 , DIV    , 1.0000 , DIV    , 0.9273
gr_left      , 1.0000 , 1.0000 , DIV    , 1.0000 , DIV    , 0.9958
gr_top       , 0.9375 , 0.8125 , DIV    , 0.9010 , DIV    , 1.0000
gr_right     , 0.8750 , 0.7500 , DIV    , 0.8125 , DIV    , 0.8750
gr_bot       , 1.0000 , 1.0000 , DIV    , 0.8710 , DIV    , 1.0000
ind_de_hor   , 1.0000 , 1.0000 , DIV    , 1.0000 , DIV    , 0.9977
ind_de_ver   , 0.9429 , 0.8857 , DIV    , 0.9429 , DIV    , 0.8857
source_hor   , 0.7635 , 0.9938 , DIV    , 0.8857 , DIV    , 0.8857
source_ver   , 0.9637 , 0.9637 , DIV    , 0.9279 , DIV    , 0.8772
current_hor  , 1.0000 , 1.0000 , DIV    , 1.0000 , DIV    , 1.0000
current_ver  , 0.8696 , 1.0000 , DIV    , 0.9130 , DIV    , 0.9546
text         , 0.7601 , 0.7233 , DIV    , 0.7636 , DIV    , 0.6911
arrow_left   , 0.4667 , 0.3000 , DIV    , 0.3000 , DIV    , 0.0500
arrow_top    , 0.1379 , 0.2069 , DIV    , 0.4138 , DIV    , 0.3448
arrow_right  , 0.4800 , 0.3200 , DIV    , 0.4000 , DIV    , 0.5200
arrow_bot    , 0.5500 , 0.4016 , DIV    , 0.6000 , DIV    , 0.4000
mAP@0.5      , 0.8225 , 0.8085 , DIV    , 0.8257 , DIV    , 0.8074
