LR = 0.0005  , 1      , 2      , 3      , 4      , 5      , 6
diode_left   , 0.8095 , 0.9048 , 0.7619 , 0.8095 , DIV    , 0.8095
diode_top    , 0.8685 , 1.0000 , 0.9048 , 0.9048 , DIV    , 1.0000
diode_right  , 0.8407 , 0.7500 , 0.8929 , 0.7143 , DIV    , 0.7500
diode_bot    , 0.8667 , 0.8667 , 0.9333 , 0.8667 , DIV    , 0.8667
res_de_hor   , 0.8966 , 0.8966 , 0.8966 , 0.9310 , DIV    , 0.8966
res_de_ver   , 0.9233 , 0.9214 , 0.9356 , 1.0000 , DIV    , 0.9271
cap_hor      , 0.8619 , 0.9333 , 0.9333 , 0.8578 , DIV    , 0.9333
cap_ver      , 0.9343 , 0.9412 , 0.7647 , 0.7014 , DIV    , 0.8754
gr_left      , 0.9333 , 0.9875 , 1.0000 , 0.9333 , DIV    , 0.9333
gr_top       , 0.8125 , 0.8708 , 0.7500 , 0.9258 , DIV    , 0.8125
gr_right     , 0.8750 , 0.8125 , 0.7500 , 0.8125 , DIV    , 0.8125
gr_bot       , 0.9444 , 0.9444 , 1.0000 , 0.9444 , DIV    , 0.9444
ind_de_hor   , 1.0000 , 1.0000 , 0.9310 , 1.0000 , DIV    , 1.0000
ind_de_ver   , 0.9429 , 0.9378 , 0.9429 , 0.8839 , DIV    , 0.9429
source_hor   , 0.8286 , 0.9429 , 0.8857 , 0.9907 , DIV    , 0.9429
source_ver   , 0.9649 , 0.9649 , 0.8772 , 0.9298 , DIV    , 1.0000
current_hor  , 0.9377 , 1.0000 , 0.9412 , 1.0000 , DIV    , 1.0000
current_ver  , 0.9130 , 0.9546 , 0.9565 , 1.0000 , DIV    , 0.9130
text         , 0.7844 , 0.7820 , 0.7509 , 0.6962 , DIV    , 0.7444
arrow_left   , 0.2000 , 0.3000 , 0.3000 , 0.6000 , DIV    , 0.2250
arrow_top    , 0.2069 , 0.4741 , 0.2759 , 0.2345 , DIV    , 0.1552
arrow_right  , 0.3200 , 0.3382 , 0.4800 , 0.4800 , DIV    , 0.3200
arrow_bot    , 0.5500 , 0.4318 , 0.4583 , 0.3400 , DIV    , 0.5714
mAP@0.5      , 0.7920 , 0.8242 , 0.7966 , 0.8068 , DIV    , 0.7990
