LR = 0.005   , 1      , 2      , 3      , 4      , 5      , 6
diode_left   , 0.9048 , 0.8571 , 0.8571 , 0.6667 , 0.9048 , 1.0000
diode_top    , 1.0000 , 1.0000 , 1.0000 , 0.9048 , 1.0000 , 1.0000
diode_right  , 0.8214 , 0.8571 , 0.5714 , 0.6786 , 0.8401 , 0.9643
diode_bot    , 0.8667 , 0.9333 , 0.8667 , 0.6000 , 0.8000 , 0.8667
res_de_hor   , 0.8966 , 0.9310 , 0.8966 , 0.8276 , 0.8966 , 0.8966
res_de_ver   , 0.9356 , 0.9982 , 0.9964 , 0.8788 , 0.9337 , 0.9375
cap_hor      , 1.0000 , 0.9333 , 0.9958 , 0.9333 , 0.8667 , 0.9333
cap_ver      , 0.8787 , 1.0000 , 0.8235 , 0.7059 , 0.9343 , 0.8824
gr_left      , 1.0000 , 1.0000 , 0.8667 , 0.8667 , 1.0000 , 1.0000
gr_top       , 0.7500 , 0.9375 , 0.9375 , 0.7812 , 0.8292 , 0.9375
gr_right     , 0.8125 , 0.8125 , 0.7500 , 0.9375 , 0.8750 , 0.9375
gr_bot       , 1.0000 , 0.9444 , 0.9444 , 0.9444 , 1.0000 , 1.0000
ind_de_hor   , 0.9655 , 0.9310 , 1.0000 , 0.9310 , 0.8621 , 1.0000
ind_de_ver   , 0.9429 , 0.8857 , 0.8286 , 0.8839 , 0.8857 , 0.8857
source_hor   , 1.0000 , 0.8857 , 0.8857 , 0.6571 , 0.9429 , 0.9345
source_ver   , 0.9649 , 1.0000 , 0.9612 , 0.8947 , 0.9298 , 0.9298
current_hor  , 0.9308 , 1.0000 , 1.0000 , 0.8824 , 1.0000 , 0.9239
current_ver  , 0.9546 , 0.9565 , 0.9565 , 0.9130 , 0.9130 , 0.9130
text         , 0.7577 , 0.7916 , 0.7473 , 0.5821 , 0.6979 , 0.7870
arrow_left   , 0.2267 , 0.3000 , 0.3000 , 0.0000 , 0.2000 , 0.4000
arrow_top    , 0.0000 , 0.1552 , 0.3448 , 0.0690 , 0.2759 , 0.1379
arrow_right  , 0.4000 , 0.4000 , 0.3200 , 0.0800 , 0.4000 , 0.3600
arrow_bot    , 0.3634 , 0.3278 , 0.3400 , 0.3400 , 0.4500 , 0.3864
mAP@0.5      , 0.7988 , 0.8191 , 0.7909 , 0.6939 , 0.8016 , 0.8267
