LR = 0.01    , 1      , 2      , 3   , 4      , 5      , 6
diode_left   , 0.8521 , 0.8095 , DIV , 0.9048 , 0.7619 , 0.8095
diode_top    , 0.8367 , 1.0000 , DIV , 1.0000 , 1.0000 , 1.0000
diode_right  , 0.7857 , 0.7826 , DIV , 0.8585 , 0.5588 , 0.7957
diode_bot    , 0.9333 , 0.8000 , DIV , 0.9333 , 0.9333 , 0.8667
res_de_hor   , 0.8966 , 0.8966 , DIV , 0.8966 , 0.8966 , 0.8966
res_de_ver   , 0.9394 , 0.9356 , DIV , 0.9938 , 0.9866 , 0.9394
cap_hor      , 0.9333 , 0.8667 , DIV , 0.9917 , 1.0000 , 1.0000
cap_ver      , 0.8559 , 0.9377 , DIV , 0.8196 , 0.9412 , 0.8824
gr_left      , 0.8756 , 0.9289 , DIV , 1.0000 , 1.0000 , 0.9244
gr_top       , 0.9375 , 0.8125 , DIV , 0.8750 , 0.9000 , 0.8750
gr_right     , 0.8750 , 0.8750 , DIV , 0.8125 , 0.8750 , 0.7500
gr_bot       , 1.0000 , 1.0000 , DIV , 1.0000 , 0.9444 , 0.9444
ind_de_hor   , 0.9310 , 1.0000 , DIV , 1.0000 , 1.0000 , 1.0000
ind_de_ver   , 0.9429 , 0.9429 , DIV , 0.9429 , 0.8857 , 0.9429
source_hor   , 0.9969 , 0.8857 , DIV , 0.9429 , 0.9429 , 0.8857
source_ver   , 0.8596 , 0.9222 , DIV , 0.9298 , 0.9649 , 1.0000
current_hor  , 0.9412 , 1.0000 , DIV , 0.9412 , 1.0000 , 1.0000
current_ver  , 0.9565 , 0.8261 , DIV , 0.9130 , 0.9565 , 0.9130
text         , 0.7124 , 0.6895 , DIV , 0.6683 , 0.7793 , 0.6354
arrow_left   , 0.2000 , 0.3000 , DIV , 0.4000 , 0.3600 , 0.2750
arrow_top    , 0.2207 , 0.2345 , DIV , 0.2837 , 0.4138 , 0.3448
arrow_right  , 0.4000 , 0.3200 , DIV , 0.4000 , 0.2400 , 0.3200
arrow_bot    , 0.4250 , 0.4500 , DIV , 0.4045 , 0.3500 , 0.4885
mAP@0.5      , 0.7960 , 0.7920 , DIV , 0.8223 , 0.8127 , 0.8039
